mode,embedding_name,embedding_label,embedding_family,embedding_source,algorithm,k,eps,min_samples,n_neighbors,assign_labels,n_init,max_iter,metric,evaluation_metric,linkage,n_docs,affinity,gamma,silhouette,davies_bouldin,ari,dunn,metrics_eligible,n_clusters,n_clustered_docs,n_noise,noise_ratio,coverage_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_median,cluster_size_std,largest_cluster_ratio,largest_cluster_doc_ratio,tiny_cluster_count,tiny_cluster_doc_ratio,runtime_sec,selection_eligible,analysis_eligible
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17977,,,0.005906494436970352,3.524788859085773,0.0709306711624382,0.08450687904825945,1.0,20.0,17977.0,0.0,0.0,1.0,49.0,8844.0,898.85,151.0,1947.9196409246454,0.49196195138232185,0.49196195138232185,0.0,0.0,19.548656702041626,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17977,,,0.004253123283228538,3.3935846427489404,0.09857765808935727,0.08450687904825945,1.0,30.0,17977.0,0.0,0.0,1.0,32.0,6951.0,599.2333333333333,130.5,1300.7063897060789,0.38666073315903654,0.38666073315903654,0.0,0.0,19.640966176986694,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,cosine,cosine,average,17977,,,0.0009703168210274642,3.4638029618273753,0.0409773286811859,0.08450687904825945,1.0,10.0,17977.0,0.0,0.0,1.0,51.0,11318.0,1797.7,123.5,3514.9083074811497,0.6295822439784169,0.6295822439784169,0.0,0.0,19.330853939056396,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,cosine,cosine,average,17977,,,-0.004324799905939534,3.6531485025063124,0.04594515914202959,0.08450687904825945,1.0,15.0,17977.0,0.0,0.0,1.0,51.0,10614.0,1198.4666666666667,153.0,2654.2201834479038,0.590421093619625,0.590421093619625,0.0,0.0,19.383092403411865,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.03476936378365896,3.61634568464384,0.13537152408811204,0.23739048858095593,1.0,25.0,17980.0,0.0,0.0,1.0,79.0,3331.0,719.2,416.0,753.1463602780007,0.18526140155728588,0.18526140155728588,0.0,0.0,19.74777317047119,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.031190316314011035,3.5290822321370703,0.12754580850244204,0.23739048858095593,1.0,30.0,17980.0,0.0,0.0,1.0,79.0,3135.0,599.3333333333334,370.0,636.4049200172971,0.17436040044493883,0.17436040044493883,0.0,0.0,19.753395080566406,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.02989912842498107,3.9236237483447995,0.13757196286734014,0.23739048858095593,1.0,20.0,17980.0,0.0,0.0,1.0,228.0,3628.0,899.0,515.5,849.911642466439,0.2017797552836485,0.2017797552836485,0.0,0.0,19.64597749710083,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.029734235939362447,4.161667321199041,0.13761243277837362,0.2325885036124852,1.0,15.0,17980.0,0.0,0.0,1.0,228.0,3628.0,1198.6666666666667,548.0,1063.4909601036682,0.2017797552836485,0.2017797552836485,0.0,0.0,19.02685260772705,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.02619160104906663,4.695797840948744,0.1217398418192536,0.2325885036124852,1.0,10.0,17980.0,0.0,0.0,1.0,456.0,4905.0,1798.0,1398.5,1501.3976821615252,0.2728031145717464,0.2728031145717464,0.0,0.0,18.727994203567505,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17980,,,0.014936794461288027,3.3430306852386944,0.11261599800938858,0.08752973510770984,1.0,30.0,17980.0,0.0,0.0,1.0,39.0,6098.0,599.3333333333334,137.5,1157.8611699547098,0.33915461624026694,0.33915461624026694,0.0,0.0,19.983116626739502,True,True
